Id,review,sentiment
26541,"Well, I must say, I initially found this short to be quite average, but having watched it nearly 5 times since (its constantly shown on IFC), I've developed an enjoyment of the simple plot elements and reality of the situations presented. Sofia Coppola contributes a solid addition to the category.",0
26542,"Everyone agrees about the technical excellence of this film by Jutra (whose life ended short so tragically). As for the content, of course it makes a difference if you're a Quebecker, and this explains some of the divergence of opinions. For me, it is to cinema what Vignault's ""Mon pays, ce n'est pas un pays"" is to song. In addition, Jean Duceppe was himself a part of legendary Quebec.<br /><br />This film can be contrasted with ""CRAZY"", a current Quebec release that is successful enough to be showing here in Spain and is also about the 1960s. Urban Quebec (Crazy) vs. rural Quebec (Antoine). But also a film that must be something very different for foreigners and for people who know Quebec from the inside.",1
26543,"I am amazed that movies like this can still be made. I watch all kinds of movies all the time with my friends and i can say that this is one of the best i ever seen. Never thinked that a movie of 146 minutes can make me think about it on and on.<br /><br />Washington, charismatic and intense as ever, plays Creasy, a washed-up ex-counter-terrorist agent who's taken to the bottle. Once he's assigned to protect young Pita (Dakota Fanning) in Mexico City, his emotional and redemptive arc is jump-started in the way only an adorable little girl can provide. Inevitably, Pita is kidnapped by thugs, and Creasy decides that most of Mexico City must pay the price for daring to take away his character's teddy-bear-clutching catalyst. Yes, he has become...a Man on Fire. <br /><br />You must see this movie.",1
26544,"The movie has an excellent screenplay (the situation is credible, the action has pace), first-class direction and acting (especially the 3 leading actors but the others as well -including the mobster, who does not seem to be a professional actor).<br /><br />I wish the movie, the director and the actors success.",1
26545,"I hope we never become to cynical as a society to appreciate the simple beauty of this movie: Beautiful to look at with its romantic English countryside, and beautiful in its message of faith and loyalty. Watch this with your children, especially your young daughters- Velvet Brown is a wonderful role model for girls. This was one of my daughter's favorite films.<br /><br />The story is based on a best selling book by Enid Bagnold about a girl, Velvet, whose whole life is her horse, Pi, and about her single-minded pursuit of her ""impossible"" dream. I won't say anymore about the plot less I spoil it for first-time viewers. She lives with a big loving family in a small coastal village.<br /><br />This is the movie that made Elizabeth Taylor a star, and to watch the film is to understand why. She is a natural actress who radiates an inner beauty that matches her outward beauty- trusting, passionate, innocent- she is the emotional core of the movie.<br /><br />Mickey Rooney gives a wonderful performance as Mi, the young man who arrives on their doorstep one day, stays, and helps Velvet train the Pi. This is one of his finest performances. Also standing out is Anne Revere as Velvet's mother in an Academy Award winning role. Her strong, loving and wise character understands that life isn't of much value unless you follow your dreams: ""We're alike. I, too, believe that everyone should have a chance at a breathtaking piece of folly once in his life."" <br /><br />I heartily recommend this very sweet, very inspiring classic from Hollywood's golden age.",1
26546,"Somebody mastered the difficult task of merging sports with romance. In reality, sports and romance go together like oil and water. So, to successfully put the two together on screen... well, that is about the equivalent of splitting the atom. I never thought it could be done. I will be the first to say that in general I don't like romantic comedies... but I do like sports and most movies about sports. This movie was a pretty good mix of the two. Being a baseball fan, I could really appreciate the comedic ordeal with Ben Wrightman (Jimmy Falon) being a rabid Boston Redsox fan. Anyone who knows anything about baseball knows the curse of the Babe that plagued the Redsox for 86 years, and they know just how nuts about baseball a lot of Redsox fans are. The Farrely brothers did a great job capturing that and it made for good comedy. This was a very good movie that could appeal to many.",1
26547,"Well, I fear that my review of this special won't heed much different observation than the others before me, but I literally just watched it- during a PBS membership drive- and frankly I'm too excited NOT to say anything. To really appreciate the enigma that is Barbra Streisand, you have to look back before the movies. Before the Broadway phenomenon of the mid-60's. When television was still a young medium, there was a form of entertainment very prominent on the air that is but a memory today: musical variety. Some musical shows were weekly series, but others were single, one-time specials, usually showcasing the special talent of the individual performer. This is where we get the raw, uninhibited first looks at Streisand. She had already been a guest performer on other variety shows including Garry Moore, Ed Sullivan, and scored a major coup in a one-time only tandem appearance with the woman who would pass her the baton of belter extraordinary: Judy Garland. In 1966, COLOR ME BARBRA introduced Barbra Streisand in color (hence the title), but copied the format of her first special a year earlier almost to the letter. In 3 distinct acts, we get an abstract Streisand (in an after-hours art museum looking at and sometimes becoming the works of art), a comic Streisand working an already adoring audience in a studio circus (populated with many fuzzy and furry animals), and best of all, a singing Streisand in mini-concert format just-- well, frankly, just doing it. <br /><br />It amazes me that she still had the film debut of FUNNY GIRL yet to come, as well as turns as songwriter, director, and political activist. Here, she is barely 24 years old, doing extraordinary things because, as she puts it in her own on-camera introduction, 'we didn't know we couldn't, so we did.' The art museum sequence is shot in Philadelphia over one weekend immediately after the museum closed to the public on Saturday evening, and apparently done with only ONE color camera. Yet there are cuts, dissolves, and tracking shots galore, resulting in one rather spectacular peak moment-- the modern, slightly beatnik-flavored, ""Gotta Move."" After getting lost amongst the modern abstracts, jazz-club bongos begin, with Streisand emerging in a psychedelic gown and glittering eye makeup, doing the catchy staccato tune with almost androgynous sex appeal. It is not until Act 3, believe it or not, that the moment is matched or bettered by another feat: in the concert sequence, in a white gown and pearl earrings, Streisand recites the torchy ""Any Place I Hang My Hat is Home,"" tearing into the final notes and revealing one of those climactic belts that makes you scream like a little girl even if you're 44 years old...and a guy. Just plain old great television. Check it out.",1
26548,"This is not a good movie but I still like it. The cat Clovis is gold in a jar as well as the premise of the cats themselves - intrinsically opposed to the evil Sleepwalkers. I think there is more to this movie than people realize, basically it is very harsh, but this brusqueness can sometimes be good. It's got the corny lines, the abrupt ending and a comedic element conveyed by the bumbling policemen.<br /><br /> Did anyone find the incestuous element a bit disturbing? Ultimately this movie is casually and randomly acrimonious, which is quite effective, I liken it to Psycho - the relationship between the mother and son, the changing of protagonists. I think the abruptness works also, this is not a movie that you want them to lengthen, it only works if it's short.<br /><br />I'm still not sure whether the director lacked depth, or whether he did these things with purpose, we know Stephen King has ability, yet I haven't even read his books, only seen some of his movies.<br /><br />Anyway, I liked it. If you like harsh corny movies with 80's overtones just watch it. but don't expect too much. It really is so bad its good.",0
26549,"This an free adaptation of the novels of Clarence Mulford; fans of the Willaim Boyd films will probably feel a little at sea here (and the reviews here so far reflect that). But I knew of Hopalong from the novels first, and never cared much for the Boyd films once I got around to them.<br /><br />Christopher Coppola has made a wise choice - he has not made a nostalgic ""Western""; instead, he has approached the Cassidy story as a slice of what we used to call 'Americana'; or what older critics once called 'homespun'. As the film unraveled, I found myself more and more reminded of the great ""Hallmark Theater"" version of Mark Twain's ""Roughing It"", with James Garner narrating.<br /><br />Both these films remind us that, although films about the 'old west' are probably always to be mythic for Americans, they need not be 'westerns'; they can very well be just films about what it meant to be American in that time, in that place.<br /><br />I never feel pandered to, watching this film; there's no effort to shove the Boyd-Cassidy legacy down our throats, no irony, no camp. Consequently, I get a sense of these characters as having walked - or ridden horseback - across some real western America I too could have walked a hundred years ago.<br /><br />Given that, the plainness of the film - it positively avoids anything we have come to call ""style"" - is all to its favor; and the plain acting of the performers fits neatly in with this; gosh, it really does feel like some story told around a campfire on a cattle drive - no visual dressing, just the quirks and good humor - and sudden violence - that we expect from the good narration of an adventure yarn. I was very pleasantly surprised by this film, and if the viewer sets aside encultured expectations, he or she will find considerable pleasure in it.<br /><br />I would have given this film 9-stars, but I'll give it a ten just because most reviewers here have missed the point completely; and I urge them to set their memories of Boyd aside and give this film another chance.<br /><br />Note 1: A reviewer complained that Hopalong shoots people dead in this film, rather than shooting the guns out of their hands (ala Boyd's Cassidy); first, Cassidy DOES shoot people dead in the novels; second, if Cassidy were a real cowboy he would have shot people dead - the problem with shooting guns out of people's hands is that they can always get another gun - which happens to be part of the subtext of this very film.<br /><br />Note 2: I admit that I am jealous of the Coppola family, that they have the Director of ""The Godfather"" among them who can get them all opportunities to make movies that I can't; but a good movie is a good movie; and this is a good movie. If it's by somebody by the name ""Coppola"", well, that's just is as it is. America is the land of opportunity (or was, until Bush got into office) - that's what the great American novels are all about.",1
26550,"It occurs to me that some of the films that have been banned during the course of cinema history were actually very important and very good films. I'd like to argue that instead of banning challenging, controversial movies the censors should consider banning films that are so bad that they pose a threat to your IQ and your sanity. If they were to do so one of the first films to be quickly hidden away would undoubtedly be ""Stroker Ace"". This film is awful with a capital 'A'. It is the worst film Burt Reynolds ever starred in.... quite a feat for for a man with ""Cannonball Run II"", ""Cop And A Half"" and ""Rent-A-Cop"" on his CV!<br /><br />The wafer-thin story introduces us to successful stock car racer Stroker Ace (Reynolds), a man who loves fast cars and fast women. He gets stuck in a demeaning contract with crooked promoter Clyde Torkle (Ned Beatty). The contract requires him to do some humiliating promotional work for a new chain of fast food restaurants, such as dressing up as a giant chicken. Thrown into the mix are Lugs (Jim Nabors), Ace's dim-witted pal, and Pembrook Feeney (Loni Anderson), a bimbo with a brain fractionally smaller than a pea who is wooed by Ace.<br /><br />Hal Needham, the director of this low-grade garbage, was formerly a stuntman and he made numerous films that relied on his expertise in staging spectacular stunts and car chases/races. Some of these films were OK, like ""Hooper"" and ""Stunts Unlimited"", but with ""Stroker Ace"" he reaches a career nadir. The characters are so stupid that you actually feel pity for the actors playing them. Anderson especially is saddled with such a dumb role that it makes you grind your teeth with despair. The humour is weak and infantile throughout, and the stunts and race sequences are unremarkable. Even the out-takes during the closing credits (which can be found in all the Reynolds-Needham collaborations) are generally unfunny, which gives the impression that maybe the film wasn't much fun to make. ""Stroker Ace"" is a stinker of considerable magnitude.",0
